year,month,Gün,H,Güneşlenme Süresi (Saat) S,"Gün
 Uzunlugu (saat) So",H0,SoverS0,HoverH0,date
2019.0,3.0,16.0,2461.7586021505376,5.825806451612903,11.743986508993409,7790.989470244702,0.4962633293669593,0.3142154730394011,2019-03-01
2019.0,4.0,15.5,2813.9152083333333,6.506666666666666,13.028019861622056,9721.00827610543,0.4986412648946444,0.2885629259552885,2019-04-01
2019.0,5.0,16.0,3496.058064516129,7.964516129032258,14.109539987845341,11050.431809848362,0.563880011430184,0.3162843284071819,2019-05-01
2019.0,6.0,15.5,4022.0855555555554,12.073333333333332,14.653822207724305,11582.944982952517,0.8238534639909827,0.34711576730229293,2019-06-01
2019.0,7.0,16.0,4266.814516129032,12.519354838709678,14.39709394115621,11292.394583301477,0.8697531169951079,0.37795569990953365,2019-07-01
2019.0,8.0,16.0,3658.016129032258,12.325806451612904,13.456584576029455,10188.067681352246,0.9159284612766118,0.3587083947382709,2019-08-01
2019.0,9.0,15.5,2987.6069444444443,7.193333333333333,12.21350704361449,8432.324828742729,0.58859371048544,0.3543219460556329,2019-09-01
2019.0,10.0,16.0,2075.1129032258063,6.190322580645161,10.932255411872108,6414.155113892544,0.5658469938312046,0.32336942891260717,2019-10-01
2019.0,11.0,15.5,1219.572777777778,5.033333333333333,9.860566449503073,4772.888338646696,0.509636352488239,0.25318886346855,2019-11-01
2019.0,12.0,16.0,982.6381720430107,2.6806451612903226,9.343728319050784,4052.135144452065,0.28689647621853376,0.24291075195222495,2019-12-01
2020.0,1.0,16.0,1355.914516129032,2.806451612903226,9.635298382334982,4472.991842637325,0.29076394857096166,0.30302492615695853,2020-01-01
2020.0,2.0,14.5,1940.1892857142855,3.5107142857142857,10.541051149297544,5852.714302661404,0.3329604176453994,0.33130369258980036,2020-02-01
2020.0,3.0,16.0,2452.440322580645,3.97741935483871,11.743986508993409,7790.989470244702,0.33947687992686093,0.3131058057643521,2020-03-01
2020.0,4.0,15.5,2795.059097222222,5.013333333333334,13.028019861622056,9721.00827610543,0.3834644129942904,0.2867060315886904,2020-04-01
2020.0,5.0,16.0,3461.2370967741936,6.351612903225806,14.109539987845341,11050.431809848362,0.4502614591000688,0.31318342814893874,2020-05-01
2020.0,6.0,15.5,4009.8405555555555,9.31,14.653822207724305,11582.944982952517,0.6351002069831374,0.3460871294454952,2020-06-01
2020.0,7.0,16.0,4281.085483870967,10.600000000000001,14.39709394115621,11292.394583301477,0.7364666075024874,0.3791996090598779,2020-07-01
2020.0,8.0,16.0,3681.546774193548,9.890322580645162,13.456584576029455,10188.067681352246,0.735030662376866,0.36093659094524133,2020-08-01
2020.0,9.0,15.5,3013.754722222222,6.623333333333333,12.21350704361449,8432.324828742729,0.5422451489830393,0.35736143335767745,2020-09-01
2020.0,10.0,16.0,2101.555376344086,4.819354838709677,10.932255411872108,6414.155113892544,0.44007270085523376,0.3272235507963984,2020-10-01
2020.0,11.0,15.5,1236.971111111111,3.3266666666666667,9.860566449503073,4772.888338646696,0.33674233825487015,0.2561892830785087,2020-11-01
2020.0,12.0,16.0,989.3629032258063,1.7322580645161292,9.343728319050784,4052.135144452065,0.18544190269275904,0.24438086787689917,2020-12-01
2021.0,1.0,16.0,1341.686559139785,1.9129032258064516,9.635298382334982,4472.991842637325,0.1991722428757404,0.29987076635995574,2021-01-01
2021.0,2.0,14.5,1938.3809523809523,2.257142857142857,10.541051149297544,5852.714302661404,0.21425360908718258,0.33043458183725777,2021-02-01
2021.0,3.0,16.0,2429.4284946236558,3.5903225806451613,11.743986508993409,7790.989470244702,0.30573995682065935,0.3097035770018536,2021-03-01
2021.0,4.0,15.5,2795.059097222222,4.883333333333334,13.028019861622056,9721.00827610543,0.3741679984754154,0.2867060315886904,2021-04-01
2021.0,5.0,16.0,3461.2370967741936,7.019354838709678,14.109539987845341,11050.431809848362,0.4972412533615784,0.31318342814893874,2021-05-01
2021.0,6.0,15.5,3677.331888888889,7.1,14.653822207724305,11582.944982952517,0.4849432423977621,0.3174323700402636,2021-06-01
2021.0,7.0,16.0,3270.1448387096775,3.238709677419355,14.39709394115621,11292.394583301477,0.2250965050244586,0.2898576565022527,2021-07-01
2021.0,8.0,16.0,3572.663870967742,3.3096774193548386,13.456584576029455,10188.067681352246,0.24594844279467168,0.3507386429322238,2021-08-01
2021.0,9.0,15.5,2949.758333333333,3.1166666666666667,12.21350704361449,8432.324828742729,0.2558718813272582,0.3496176957776689,2021-09-01
2021.0,10.0,16.0,2040.363440860215,3.7516129032258063,10.932255411872108,6414.155113892544,0.3442627782526278,0.31796320269813283,2021-10-01
2021.0,11.0,15.5,1238.3333333333333,5.416666666666667,9.860566449503073,4772.888338646696,0.5512024546940659,0.2564298601406709,2021-11-01
2021.0,12.0,16.0,902.3935483870968,2.5032258064516126,9.343728319050784,4052.135144452065,0.26789894105939743,0.2229192726642348,2021-12-01
2022.0,1.0,16.0,1345.2935483870967,2.4193548387096775,9.635298382334982,4472.991842637325,0.2509024318610392,0.3003121826788715,2022-01-01
2022.0,2.0,14.5,1709.5232142857144,2.9464285714285716,10.541051149297544,5852.714302661404,0.28000530321796346,0.29133478814236113,2022-02-01
2022.0,3.0,16.0,2420.4548387096775,4.47741935483871,11.743986508993409,7790.989470244702,0.3813979829396454,0.3069890891520716,2022-03-01
2022.0,4.0,15.5,2795.856875,5.7266666666666675,13.028019861622056,9721.00827610543,0.43862239736555647,0.28567286878772535,2022-04-01
2022.0,5.0,16.0,3672.3,7.248387096774193,14.109539987845341,11050.431809848362,0.5135654655108427,0.3319382253326989,2022-05-01
